Credit_Card_Exceed_Months,Employment_Type,Loan_Amount,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_More_Than_Months,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision,Score
1,employer,,16.0,yes,1,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,2.0,12262.0,853141.0,16025.0,Reject,7
1,employer,605505.0,19.0,no,1,2,,2.0,2.0,1.0,2,condominium,10.0,Johor,2.0,9251.0,882901.0,17082.0,Accept,9
1,employer,,,yes,1,2,5.0,2.0,2.0,,3,condominium,10.0,Johor,,4919.0,540489.0,12613.0,Reject,8
1,employer,490216.0,,no,1,2,5.0,,2.0,1.0,1,condominium,10.0,Johor,,4459.0,536727.0,10952.0,Accept,9
1,employer,292728.0,14.0,yes,1,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,5628.0,774695.0,,Reject,8
1,employer,198118.0,,no,1,2,5.0,2.0,,1.0,2,condominium,,Johor,2.0,11323.0,1350187.0,16349.0,Reject,7
1,employer,226681.0,,yes,1,2,5.0,,,,1,condominium,10.0,Johor,,,615986.0,11172.0,Accept,7
1,employer,667042.0,21.0,no,1,2,5.0,2.0,2.0,,2,condominium,10.0,Johor,,,,7543.0,Reject,8
1,employer,114428.0,24.0,yes,1,2,5.0,2.0,,,2,condominium,10.0,Johor,,11983.0,556822.0,12947.0,Accept,8
1,employer,,12.0,no,1,2,5.0,2.0,2.0,,1,condominium,10.0,Johor,2.0,,1155848.0,18385.0,Reject,7
1,employer,238090.0,22.0,yes,1,2,5.0,2.0,,1.0,2,condominium,10.0,Johor,,5109.0,629295.0,,Reject,8
1,employer,,10.0,no,1,2,,2.0,,,3,condominium,10.0,Johor,1.0,,1010426.0,12328.0,Accept,7
1,employer,236478.0,23.0,yes,1,2,5.0,2.0,,1.0,3,condominium,10.0,Johor,,6493.0,848730.0,11533.0,Accept,7
1,employer,,24.0,no,1,2,5.0,2.0,2.0,,3,condominium,10.0,Johor,,5459.0,524595.0,15290.0,Accept,8
1,employer,244563.0,20.0,yes,1,2,5.0,,2.0,1.0,3,condominium,10.0,Johor,2.0,,1251358.0,,Reject,6
1,employer,577456.0,13.0,no,1,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,11886.0,1183881.0,12738.0,Accept,8
1,employer,,12.0,yes,1,2,,2.0,,1.0,3,condominium,10.0,Johor,2.0,7593.0,786953.0,10878.0,Reject,7
1,employer,100443.0,14.0,no,1,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,9947.0,561999.0,,Reject,8
1,employer,748282.0,18.0,yes,1,2,5.0,2.0,2.0,1.0,2,condominium,,Johor,,6209.0,672383.0,,Accept,6
1,employer,175553.0,12.0,no,1,2,5.0,2.0,2.0,1.0,1,condominium,,Johor,,9972.0,1394542.0,8265.0,Reject,9
1,employer,196987.0,16.0,yes,1,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,,,954301.0,16258.0,Reject,8
1,employer,473425.0,23.0,no,1,2,5.0,2.0,,1.0,3,condominium,10.0,Johor,3.0,,927502.0,17751.0,Accept,6
1,employer,210738.0,10.0,yes,1,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,,,946444.0,,Reject,6
1,employer,,15.0,no,1,2,5.0,,2.0,,1,condominium,,Johor,,11852.0,1308511.0,10653.0,Accept,6
1,employer,508544.0,19.0,yes,1,2,5.0,2.0,,1.0,3,condominium,,Johor,3.0,9605.0,803230.0,,Accept,9
1,employer,,11.0,no,1,2,5.0,2.0,,1.0,3,condominium,,Johor,2.0,7185.0,1330083.0,,Accept,8
1,employer,247640.0,15.0,yes,1,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,,6547.0,666752.0,,Accept,7
1,employer,255874.0,,no,1,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,8538.0,834522.0,,Accept,9
1,employer,767690.0,,yes,1,2,,2.0,2.0,1.0,1,condominium,10.0,Johor,2.0,10051.0,1227772.0,12280.0,Accept,8
1,employer,249608.0,,no,1,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,1.0,9707.0,1011241.0,15707.0,Accept,7
1,employer,379899.0,13.0,yes,1,2,,,2.0,1.0,3,condominium,10.0,Johor,2.0,,1413168.0,13576.0,Accept,8
1,employer,,18.0,no,1,2,5.0,2.0,2.0,,1,condominium,10.0,Johor,,6552.0,,,Reject,9
1,employer,110747.0,15.0,yes,1,2,5.0,,2.0,1.0,3,condominium,10.0,Johor,1.0,11154.0,1294348.0,18851.0,Reject,6
1,employer,379448.0,18.0,no,1,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,2.0,10817.0,818703.0,,Accept,7
1,employer,362448.0,14.0,yes,1,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,1.0,3698.0,538308.0,14981.0,Reject,6
1,employer,550775.0,24.0,no,1,2,,2.0,,1.0,1,condominium,10.0,Johor,1.0,6425.0,481871.0,15957.0,Accept,8
1,employer,,18.0,yes,1,2,5.0,2.0,,,1,condominium,10.0,Johor,,10565.0,757268.0,17968.0,Reject,7
1,employer,405343.0,11.0,no,1,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,2.0,6116.0,746446.0,,Accept,6
1,employer,,22.0,yes,1,2,5.0,2.0,2.0,1.0,2,condominium,,Johor,1.0,7443.0,1409154.0,19932.0,Reject,7
1,employer,503581.0,19.0,no,1,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,1.0,,601169.0,17488.0,Accept,9
1,employer,132350.0,,yes,1,2,5.0,2.0,,1.0,1,condominium,10.0,Johor,,,1413238.0,14137.0,Accept,7
1,employer,139803.0,14.0,no,1,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,,,937765.0,12078.0,Reject,7
1,employer,,10.0,yes,1,2,5.0,2.0,2.0,1.0,1,condominium,,Johor,,,903515.0,10349.0,Accept,6
1,employer,396011.0,,no,1,2,,2.0,2.0,,2,condominium,10.0,Johor,3.0,,439917.0,10707.0,Accept,6
1,employer,565418.0,,yes,1,2,5.0,2.0,,,1,condominium,10.0,Johor,1.0,10723.0,1179235.0,9137.0,Reject,6
1,employer,220915.0,15.0,no,1,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,,,18803.0,Accept,7
1,employer,238990.0,14.0,yes,1,2,,2.0,,,1,condominium,10.0,Johor,,7616.0,657335.0,12506.0,Reject,6
1,employer,763798.0,13.0,no,1,2,5.0,,,,2,condominium,10.0,Johor,2.0,7968.0,1438566.0,,Accept,9
1,employer,155112.0,14.0,yes,1,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,6821.0,,,Accept,9
1,employer,623271.0,,no,1,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,,5697.0,794586.0,15483.0,Accept,6
1,employer,732986.0,17.0,yes,1,2,5.0,,2.0,1.0,1,condominium,10.0,Johor,,5680.0,499844.0,10774.0,Accept,7
1,employer,475541.0,17.0,no,1,2,5.0,2.0,,,3,condominium,10.0,Johor,3.0,8893.0,1394458.0,8679.0,Accept,7
1,employer,364495.0,20.0,yes,1,2,,2.0,,1.0,1,condominium,10.0,Johor,,,884635.0,,Accept,7
1,employer,497623.0,22.0,no,1,2,5.0,2.0,,1.0,2,condominium,10.0,Johor,3.0,9118.0,1254034.0,14645.0,Accept,6
1,employer,329944.0,11.0,yes,1,2,5.0,2.0,2.0,1.0,2,condominium,,Johor,3.0,,1220164.0,11040.0,Accept,9
1,employer,783763.0,,no,1,2,,2.0,,1.0,2,condominium,10.0,Johor,2.0,6819.0,1122740.0,11934.0,Reject,9
1,employer,,23.0,yes,1,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,11763.0,1423797.0,17178.0,Accept,6
1,employer,,21.0,no,1,2,5.0,,,1.0,3,condominium,10.0,Johor,,,1372361.0,,Accept,8
1,employer,236410.0,19.0,yes,1,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,1.0,8175.0,1194440.0,,Accept,9
1,employer,659582.0,23.0,no,1,2,5.0,2.0,2.0,,2,condominium,10.0,Johor,1.0,6153.0,662544.0,,Reject,9
